FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Actual,Prediction,Probability,Result
0.5547692,-0.6674319,0.3359525,0.60675,-0.04660751,2.488366,-0.36224002,-0.13834898,0.61207706,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.48348472,0.48867792,0.3618142,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,-0.5089854,0.21339738,0.27421227,0.0,0.16158266,-0.006451257,0.0,0.16456808,-0.2831294,-0.5518795,-1.156168,-0.08710726,0.19950604,0.34498775,0.13166241,0.14725314,0.16504763,0.0,0.121797815,1.3536128,0.103853405,-0.09818133,0.0,-0.09145291,0.0,0,1,0.5503748881863562,False Positive
-1.5651784,1.2627032,-2.8807752,-1.6481252,-0.04660751,3.0632489,0.15852861,-0.4716038,-1.651437,-3.0202951,-0.19815527,0.0,-1.6393385,-0.0062324977,-1.4252319,-0.006176598,-2.025564,-2.1077688,-0.33913705,-0.053037953,-1.8383023,-0.07148143,-0.19763958,-0.05106706,-2.0417242,0.35593557,-0.51177895,0.18441506,0.2739191,0.0,0.16158266,-0.006451257,0.0,0.16456808,0.47464323,-0.6827837,-0.42594784,-0.091891326,0.17734964,0.22187705,0.15138532,0.17682585,0.16504763,0.0,0.101715565,1.8338904,0.08762429,-0.09818133,0.0,-0.09145291,0.0,0,1,0.6672727496322505,False Positive
0.5730875,-0.7672008,0.3359525,0.60675,-0.04660751,-1.3583515,1.6096263,-0.81068605,0.62046593,0.32165465,5.046548,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.55355716,0.4731983,-0.9316535,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35583344,-0.82467043,0.16712266,-0.1167847,0.0,0.16158266,-0.006451257,0.0,0.16456808,-1.2802118,-0.95648193,-3.6590197,0.17117614,0.15755086,0.27553865,0.107556716,0.13953932,0.16504763,0.0,0.064060695,-0.56750816,0.0064719627,-0.099023014,0.0,-0.09145291,0.0,0,1,0.6489740040208589,False Positive
0.66995287,-0.76973444,0.3359525,0.60675,-0.04660751,-1.0079627,1.4604459,-0.78271955,0.61278605,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.52598095,0.47440076,-0.45746824,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,-0.8814749,0.1998436,0.32235324,0.0,0.16158266,-0.006451257,0.0,0.16456808,-0.65537053,-1.0635833,0.025568837,0.30031723,0.19761921,0.2262934,0.107556716,0.0996815,0.16504763,0.0,0.10924706,-0.4074145,0.0713918,-0.099023014,0.0,-0.09145291,0.0,0,1,0.5846002109309942,False Positive
0.64636135,-0.735845,0.3359525,0.60675,-0.04660751,-1.359871,1.6150521,-0.8118497,0.61904794,0.32165465,5.046548,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.5594348,0.46778777,-0.93122274,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35583344,-0.82839394,-4.256269,-0.13439718,0.0,0.16158266,-0.006451257,0.0,0.16456808,-1.2802118,-0.90679884,-3.6757374,0.15682644,0.15471879,0.32226032,0.1119395,0.17682585,0.16504763,0.0,0.056111366,-0.56750816,0.004307405,-0.099023014,0.0,-0.09145291,0.0,0,1,0.6548650276485344,False Positive
0.59362596,-0.735845,0.3359525,0.60675,-0.04660751,3.054146,-0.5249807,-0.20127077,0.59848934,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.48077327,0.48446986,-0.6653009,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,-0.48477346,0.18161383,0.04172841,0.0,0.16158266,-0.006451257,0.0,0.16456808,0.35942772,-0.6679055,-0.6935178,-0.08710726,0.19761921,0.3228912,0.15028985,0.18325505,0.16504763,0.0,0.10087989,1.7805259,0.08654033,-0.09818133,0.0,-0.09145291,0.0,0,1,0.8818937971336931,False Positive
0.64386296,-0.75009793,0.3359525,0.60675,-0.04660751,3.054146,-0.5249807,-0.2047663,0.59529936,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.4717309,0.48477018,-0.6446465,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,-0.4885006,0.1998436,0.06814675,0.0,0.16158266,-0.006451257,0.0,0.16456808,0.35942772,-0.6634432,-0.72138643,-0.08710726,0.19479083,0.3197367,0.13714153,0.18454169,0.16504763,0.0,0.09794982,1.8872551,0.08654033,-0.09818133,0.0,-0.09145291,0.0,0,1,0.8391420391767576,False Positive
0.6433083,-0.6329082,0.3359525,-1.6481252,-0.04660751,3.0617342,-0.56023586,-0.23448057,0.59553635,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.45816803,0.49514076,3.1986141,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,-0.48943058,0.19142902,0.047011163,0.0,0.16158266,-0.006451257,0.0,0.16456808,0.31954277,-0.6708823,-0.7882746,-0.08710726,0.20563363,0.12527923,0.13166241,0.17682585,0.16504763,0.0,0.092092276,2.0473487,0.07410003,-0.09818133,0.0,-0.09145291,0.0,0,1,0.5152112156835698,False Positive
0.6777246,-0.73489445,0.3359525,0.60675,-0.04660751,3.054146,-0.546684,-0.2047663,0.59565437,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.4717309,0.48401937,-0.5955933,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,-0.48104995,0.20077734,0.110710315,0.0,0.16158266,-0.006451257,0.0,0.16456808,0.3550022,-0.632207,-0.72138643,-0.10623979,0.2089328,0.15179212,0.14590707,0.14082596,0.16504763,0.0,0.102553844,2.1007133,0.094658256,-0.09818133,0.0,-0.09145291,0.0,0,1,0.7200089851074205,False Positive
0.69160235,-0.60725397,0.3359525,0.60675,-0.04660751,2.4898808,-0.33782807,-0.14708781,0.6125491,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.4974995,0.48717514,0.52661824,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,-0.4978112,0.21620224,0.47088563,0.0,0.16158266,-0.006451257,0.0,0.16456808,-0.2831294,-0.5414694,-1.3679833,-0.10145697,0.20610441,0.27048647,0.12837511,0.1356834,0.16504763,0.0,0.11636072,1.567071,0.09573885,-0.09818133,0.0,-0.09145291,0.0,0,1,0.5211016335476364,False Positive
0.6777246,-0.7133569,0.3359525,0.60675,-0.04660751,3.054146,-0.52769786,-0.21234147,0.5976623,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.46946993,0.48822743,-0.55643636,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,-0.47918636,0.21105939,0.16765717,0.0,0.16158266,-0.006451257,0.0,0.16456808,0.3550022,-0.65898085,-0.7269532,-0.082324445,0.20799124,0.1877834,0.12837511,0.1485398,0.16504763,0.0,0.10882922,2.1007133,0.097363114,-0.09818133,0.0,-0.09145291,0.0,0,1,0.750006452965362,False Positive
0.6888266,-0.76403373,0.3359525,0.60675,-0.04660751,2.9070156,-0.17508733,-0.19078419,0.60380626,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.49433473,0.48341754,-0.64593786,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,-0.57417053,0.15029351,0.20317528,0.0,0.16158266,-0.006451257,0.0,0.16456808,0.20875275,-0.68426925,-0.9722213,-0.1636361,0.15471879,0.10570632,0.15248081,0.16011155,0.16504763,0.0,0.17326216,1.0334253,0.16228633,-0.09818133,0.0,-0.09145291,0.0,0,1,0.5109860183838211,False Positive
0.71602666,-0.64399415,0.3359525,0.60675,-0.04660751,2.488366,-0.36495715,-0.14359228,0.61266804,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.47579947,0.48552218,0.41560084,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,-0.50712544,0.21012565,0.34084672,0.0,0.16158266,-0.006451257,0.0,0.16456808,-0.29199427,-0.5474172,-1.2063385,-0.07754163,0.19903526,0.26985556,0.15357713,0.14211059,0.16504763,0.0,0.117614225,1.4603418,0.0984437,-0.09818133,0.0,-0.09145291,0.0,0,1,0.5015848926764418,False Positive
0.7432267,-0.6218232,0.3359525,0.60675,-0.04660751,2.4898808,-0.33782807,-0.14708781,0.6125491,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.46901804,0.48477018,0.52102333,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,-0.4940877,0.20077734,0.46765643,0.0,0.16158266,-0.006451257,0.0,0.16456808,-0.30972397,-0.5474172,-1.3679833,-0.082324445,0.2089328,0.27490777,0.12837511,0.15111107,0.16504763,0.0,0.11970602,1.567071,0.09790341,-0.09818133,0.0,-0.09145291,0.0,0,1,0.5166286108572911,False Positive
0.6075038,-0.6123212,0.3359525,0.60675,-0.04660751,2.4898808,-0.33782807,-0.14708781,0.6132581,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.4880052,0.48477018,0.52962947,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,-0.4940877,0.20965879,0.47616914,0.0,0.16158266,-0.006451257,0.0,0.16456808,-0.30972397,-0.55485636,-1.3735676,-0.07754163,0.2202464,0.3159463,0.12837511,0.14468187,0.16504763,0.0,0.12765536,1.567071,0.10980678,-0.09818133,0.0,-0.09145291,0.0,0,1,0.5080841501653027,False Positive
