Feature,Importance
AIT504,0.09245544727374995
PIT503,0.07823033268356112
PIT501,0.07654572935968018
AIT402,0.06927527826052898
AIT501,0.0688402525670588
AIT201,0.06001644306273009
PIT502,0.04641345947183211
FIT401,0.044140306201243096
FIT503,0.04396204217815847
AIT502,0.0423716494627241
FIT501,0.03899187864320335
AIT202,0.0317470513736335
FIT504,0.02893284023697972
LIT301,0.027159922913839722
MV201,0.024604253723557738
LIT401,0.02347727325726911
DPIT301,0.02025605154879027
AIT203,0.01890689861276133
FIT502,0.01741524638347415
AIT503,0.016947186338112073
LIT101,0.01646368657380038
UV401,0.015285473793143173
FIT201,0.014645231781619757
P501,0.01356108324063372
MV304,0.011997293092860122
FIT301,0.01177946360731362
P102,0.008921063809562951
AIT401,0.007515985899394016
FIT601,0.007483842811010996
FIT101,0.003184746029380604
P402,0.0031734905795693194
MV101,0.0027897261564424863
P201,0.0024964647759470235
P203,0.002332160372821645
P101,0.002047012662514085
P205,0.0017512077287863976
P302,0.001461532980198724
MV302,0.0009006414597273349
MV303,0.0006430101192950617
MV301,0.0004434655974534444
P206,0.00017700884624948616
P204,0.00016737154724904933
P602,4.854484635118932e-05
P301,3.618324494026952e-05
P403,4.7648908473066795e-06
P502,0.0
P202,0.0
P401,0.0
P404,0.0
P601,0.0
P603,0.0
